model,accuracy,precision,recall,f1,auroc,n
Baseline_LR,0.68,0.6190476190476191,1.0,0.7647058823529411,0.8717948717948718,25
Standalone_BERT,0.52,0.52,1.0,0.6842105263157895,0.7628205128205129,25
Pipeline,0.72,0.875,0.5384615384615384,0.6666666666666666,0.8974358974358975,25
